V.N,Verbs,,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
,abaisser,,avoir,être,étre aimé,se méfier,aimer,placer,manger,peser,céder,jeter,modeler,créer,assiéger,apprécier,payer,broyer,envoyer,finir,haïr,aller,tenir,acquérir,sentir,vêtir,couvrir,cueillir,assaillir,faillir,bouillir,dormir,courir,mourir,servir,fuir,ouïr,recevoir,entrevoir,pourvoir,savoir,devoir,pouvoir,mouvoir,pleuvoir,falloir,valoir,vouloir,assooir,seoir,surseoir,choir,rendre,prendre,battre,mettre,peindre,joindre,craindre,vaincre,traire,faire,plaire,connaître,naître,paître,croître,croire,boire,clore,concluro,absoudre,coudre,moudre,suivre,vivre,lire,dire,rire,écrire,confire,cuire
,abandonner,,,,,,attitrer,acquiescer,abroger,"refermer,",,appeler,"corseter, T........ 12",béer,abréger,,aboyer,,,asservir,"entre-haïr, P...... 20",,abstenir ,conquérir,consentir,dévêtir,découvrir,accueillir,saillir,défaillir,débouillir,endormir,accourir,,desservir,enfuir,gésir,apercevoir,prévoir,dépourvoir,,redevoir,,émouvoir,repleuvoir,,équivaloir,,rasseoir,messeoir,,déchoir,défendre,apprendre,abattre,admettre,dépeindre,adjoindre,contraindre,convaincre,abstraire,contrefaire,complaire,méconnaitre,renaître,repaitre,accroître,accroire,emboire,déclore,exclure,dissoudre,découdre,émoudre,ensuivre,revivre,élire,contredire,sourire,circenscrire,déconfire,recuire
,abasourdir,,,,,,trisser,agacer,adjuger,"parsemer, T..",,aciseler,"déceler, T........ 12","capéer, I..",,,"bayer,",,,maudire,ouïr,,appartenir,enquérir,pressentir,revêtir,recouvrir,recueillir,tressaillir,,dormir,rendormir,concourir,,resservir,,,concevoir,revoir,,,,,promouvoir,,,prévaloir,,,,,échoir,descendre,comprendre,combattre,commettre,repeindre,conjoindre,plaindre,,distraire,défaire,déplaire,reconnaître,,,décroître,,,éclore,inclure,résoudre,recoudre,remoudre,poursuivre,survivre,réélire,dédire,,décrire,circoncire,conduire
,abâtardir,,,,,,abaisser,agencer,afféager,"remercier, T.....","concéder, T...... 10",appeler,"décongeler, T..... 12","capéer, .","désagréger, T, P... 14","rapiécer, T..","balayer, T",,,médire,haïr,,contenir,quérir,ressentir,,ouvrir,,,,,,discourir,,,,,décevoir.,voir,,,,,,,,revaloir,,,,,,condescendre,déprendre,contrebattre,compromettre,astreindre,disjoindre,,,extraire,forfaire,taire,paraître,,,recroître,,,enclore,occlure,,,,,,relire,interdire,,inscrire,frire,déduire
,abattre,,,,,,abandonner,placer,affliger,"ressemer, T....","décéder, I,+...... 10","atteler, T, P,","préacheter, T..... 12","congréer, T.","empiéger,",,"bégayer, ",,,prédire,,,détenir,reconquérir,mentir,,entrouvrir,,,,,,encourir,,,,,percevoir,,,,,,,,,,,,,,,redescendre,désapprendre,débattre,démettre,étreindre,enjoindre,,,retraire,malfaire,,apparaître,,,,,,forclore,reclure,,,,,,,,,prescrire,suffire,éconduire
,abdiquer,,,,,,abdiquer,"autofina?cer, P.... 7",affouager,"semer, T",déposséder. T.,"bateler, T.","surgeler, T. ....... 12","créer,","liéger, T.",,"bornoyer, I,T",,,redire,,,entretenir,requérir,démentir,,rentrouvrir,,,,,,parcourir,,,,,,,,,,,,,,,,,,,,fendre,entreprendre,"ébattre (s"")",émettre,restreindre,rejoindre,,,soustraire,méfaire,,comparaitre,,,,,,,,,,,,,,,,proscrire,,enduire
,aberrer,,,,,,aberrer,"avancer, I, T.P",affourrager,"sursemer,","excéder, T..","bosseler, T,P",,"dégréer, T..","manéger, T....... 14",,"brayer, T.",,,"attendrir, T, P..... 19",,,maintenir,,partir,,rouvrir,,,,,,recourir,,,,,,,,,,,,,,,,,,,,pourfendre,éprendre,embattre,entremettre (s),atteindre,oindre,,,braire,parfaire,,disparaitre,,,,,,,,,,,,,,,,récrire,,induire
,abêtir,,,,,,abhorrer,"balancer, I, T, P",manger,"égrener, T, P","exhéréder, T...... 10","botteler, T..",,"énucléer, T :","piéger, T",,"blondoyer,",,,"atterrir, ,o....... 19",,,obtenir,,départir,,offrir,,,,,,secourir,,,,,,,,,,,,,,,,,,,,refendre,méprendre,rabattre,omettre,ceindre,poindre,,,,redéfaire,,réapparaÎtre,,,,,,,,,,,,,,,,réinscrire,,introduire
,abhorrer,,,,,,abîmer,"bercer, T, P","attiger,","emmener, T","obséder, T........ 10","bourreler, T.",,"gréer, T.","protéger, T.",,"broyer, T.",,,"attiédir, T, P ...... 19",,,retenir,,repartir,,souffrir,,,,,,,,,,,,,,,,,,,,,,,,,,pendre,réapprendre,rebattre,permettre,enceindre,,,,,refaire,,recomparaftre,,,,,,,,,,,,,,,,retranscrire,,produire
,abîmer,,,,,,abjurer,"cadencer, I,","avantager, T.","enchifrener, T..","posséder, T, P","bretteler, T, P",,"guéer, T...",ralléger,,"capeyer,",,,"décatir, T, P,...... 19",,,soutenir,,repentir,,,,,,,,,,,,,,,,,,,,,,,,,,,,appendre,reprendre,,promettre,empreindre,,,,,satisfaire,,reparaître,,,,,,,,,,,,,,,,souscrire,,reconduire
,abjurer,,,,,,abloquer,"cadencer, I,T","bauger,P","engrener,T.","précéder, T...... 10","canneler, T",,"maugréer L, Y","siéger, I...",,"capeyer,l.",,,"défraîchir, T ...... 19",,,venir,,sortir,,,,,,,,,,,,,,,,,,,,,,,,,,,,dépendre,surprendre,,réadmettre,enfreindre,,,,,surfaire,,transparaître,,,,,,,,,,,,,,,,transcrire,,réduire
